Gene ID,GSM7587683,GSM7587684,GSM7587685,GSM7587686,GSM7587687,GSM7587688,GSM7587689,GSM7587690,GSM7587691,GSM7587692,GSM7587693,GSM7587694,GSM7587695,GSM7587696,GSM7587697,GSM7587698,GSM7587699,GSM7587700,GSM7587701,GSM7587702,GSM7587703,GSM7587704,GSM7587705,GSM7587706,GSM7587707,GSM7587708,GSM7587709,GSM7587710,GSM7587711,GSM7587712,GSM7587713,GSM7587714,GSM7587715,GSM7587716
BCL2,9.890772314,10.45697949,10.56121432,10.46491645,8.703169085,9.425731094,10.14515346,10.35803714,9.725417349,9.461103851,9.512720668,9.435485448,10.06632658,9.625769752,10.02449189,9.420074153,10.78593785,11.35884796,11.30520265,11.33894398,11.63079046,10.77656587,11.92671594,11.54819969,11.28971266,10.85061061,10.7896588,10.5989643,11.4686317,11.0019117,11.17695396,11.13651705,12.01213655,12.78822851
BCL2L1,11.54244633,11.01400094,11.14967547,10.98843599,12.78438788,11.64909079,10.8898768,11.21367558,11.1526333,10.95481495,11.18031527,11.20807495,11.18880312,11.22867763,10.97317311,11.18063137,11.0113366,11.00103533,11.08836216,10.96636672,10.93637571,10.96347822,11.25282547,10.81578051,11.20680864,11.45362563,11.08584715,11.14025633,11.21421497,11.27923819,11.16011801,11.38587652,10.98245628,11.09987883
BCL6,9.282931555,8.321419193,9.120427247,9.068936431,9.540984615,10.29217321,9.957188798,9.328648897,11.0109564,9.402805211,9.733538954,10.19311051,10.45183752,9.238965934,9.914949039,11.06810345,11.02694595,10.90620666,9.646806106,10.44748342,10.60160727,9.35908519,10.96702554,10.65519974,10.09794516,8.722300442,9.307366339,9.932755649,9.171904161,10.68396785,9.84954339,10.10506741,10.54534191,9.900372842
BID,6.977779173,7.738098918,6.296677887,6.360774866,7.344246782,6.23534199,8.35831399,6.363414315,6.436898676,8.219539121,6.635802152,7.104279539,7.082931485,6.31520152,7.411332493,6.435551489,6.699833483,6.436669736,6.183971903,7.52225119,6.588651613,6.739476547,6.536391188,6.549980429,6.654026542,6.755943286,6.498104351,6.257044733,7.061622106,6.679983603,7.266195545,6.744199629,6.270468338,6.626539035
BIRC5,10.22702281,9.510568323,9.836457078,8.458072067,9.858819955,9.827158162,9.226669985,10.12717997,9.732515494,9.037196598,9.361940716,8.871182418,9.501140441,9.475666192,8.737052167,9.814401416,10.3751978,10.29413777,9.462149795,10.80428656,10.26369924,9.407179478,10.62262359,9.986801536,9.884880542,10.71310709,8.372573469,8.904921441,10.01364208,9.613021389,9.184018137,9.977728869,10.37555594,10.01772979
BLK,8.617292408,8.233340035,8.492025485,9.672602371,6.164923083,8.409839721,9.313592187,8.959781579,9.367920935,8.35748122,9.130349358,9.347299922,9.553404191,8.060628693,9.921628195,9.257908575,9.643942282,9.946587548,9.677073546,9.171344028,9.690911457,9.034097296,9.273356782,10.08995548,8.975954637,7.776263271,10.11281419,7.802323532,8.444276432,9.365616194,8.917391745,9.500094952,9.987377356,10.20755435
BLNK,9.746498948,9.169050907,9.49517204,9.469785488,8.385799272,9.506938409,8.771253024,9.692196081,9.941442495,9.160444373,9.018456478,9.115867514,9.460661371,9.009098392,9.943124335,10.09341454,9.800138389,9.890682775,9.757963286,9.826585225,10.09856943,9.217909127,9.567418083,9.78183318,9.911747148,9.034244449,9.343129691,8.813773553,9.159358908,9.79496969,8.726507124,9.951444224,10.36172608,9.638316203
BMI1,9.898502042,9.792455517,9.931271155,10.3257537,9.830676991,9.985642223,9.678563557,10.12338173,9.622192079,9.694242113,9.586078685,10.02198847,10.01932059,9.692624727,9.748367481,9.701880975,9.849092848,9.571466514,9.685369687,9.52225119,9.510339211,9.965085681,9.85203302,9.907532434,9.56204822,9.782555017,10.01701245,9.876539639,9.738007635,9.609674068,10.0300206,9.683390717,9.678084897,9.25039055
BST1,7.874067823,9.357123255,8.120427247,7.859322615,7.941646386,8.957808015,9.616797856,8.069128975,7.938376192,9.610247291,9.550760029,8.992433572,8.569808986,8.812701179,9.027591124,8.541523858,7.986714631,8.021632236,8.29656373,8.447483422,7.808917734,8.601597272,8.292052875,7.777786347,8.783794417,7.995770301,7.537632715,8.988126913,8.396970717,7.808171872,8.605447738,7.880465319,8.049869198,8.203596338
BST2,10.19868167,10.33450495,10.8701736,11.31875423,10.19769812,11.30020021,11.35516515,10.85984014,11.28706668,10.77607721,10.82211313,11.06521568,11.46456583,10.97257252,11.40776881,11.00206967,11.2867183,11.02904971,10.92561398,10.73916848,10.97742346,11.58235065,11.01376818,11.53027036,11.55297464,11.15506589,10.8339909,11.05176283,10.95496617,11.29651618,10.87436973,11.26183188,11.33623611,11.34415928
BTK,9.272771689,8.967508353,9.237784198,9.571134732,7.763960769,9.540687201,9.661669979,9.796055633,10.18598056,9.392142228,8.979143554,9.152898245,10.15235289,8.807683104,10.36430358,10.04378377,10.46875882,10.24508663,9.768934404,9.624213601,10.62807948,9.640343355,9.999619374,10.52484782,9.987787,8.505135183,9.314969492,8.373811798,9.010153091,9.709991478,9.01281131,10.2305983,10.96925074,10.01321431
BTLA,10.07550687,10.0659236,10.26015201,12.00395988,8.662422742,9.677811617,11.14089323,11.46194777,10.70661684,10.09488526,10.18320124,11.04186693,11.70920608,10.05216711,11.35075705,10.2277466,10.37790539,10.59664508,11.33451048,10.19895626,10.98096904,10.95864507,10.82232943,11.42875739,10.10106113,8.876135198,10.75164547,8.779147209,9.721034556,9.766695236,9.540882474,10.77616736,11.2281335,11.47058876
C1QA,10.74036764,10.78472943,10.74160994,10.82249224,11.27835885,11.41212066,11.55593073,10.76307371,11.65711673,10.97210157,10.31429534,11.29601537,12.01400189,11.83198301,11.91033912,10.8420417,11.0927004,11.30181306,10.96703391,11.02732089,11.41290506,11.73900684,11.2230947,11.07930823,12.19190726,12.06940529,11.35054716,10.8392086,11.13152981,12.01177251,11.06174495,11.71845186,10.97916621,11.29105918
C1QB,12.35572939,12.57107531,12.56327705,12.39598956,12.18826977,12.20046661,12.28905133,12.56798546,12.32952378,11.7487542,11.17742352,12.05697382,12.79310734,12.84367478,12.56455116,11.5235317,12.44593123,12.53892958,12.39114473,12.37065284,12.57064546,13.48683038,12.42398709,12.41579508,13.71694567,13.76740847,13.44798509,12.49966496,12.3805133,13.49869302,12.19136662,13.02750643,12.26541275,12.43768997
C1QBP,12.27319645,12.09673137,12.15042408,12.08711185,12.40473218,12.20573553,11.11071409,12.70771022,12.07587972,11.57909038,12.13333692,11.56688076,11.92186905,12.38634837,11.78224928,12.05635244,12.22389716,12.12907853,12.48419073,11.99913033,12.15552952,12.5073851,12.54810461,11.88701542,12.4586511,12.35722676,11.86183354,11.92188474,12.30812964,12.32842868,12.04067308,12.22695052,12.83873645,13.035095
C1R,12.0669579,12.06076541,12.15615055,12.98911443,11.40445142,12.50105749,11.77125302,12.40884896,12.69235391,12.43354953,12.38744006,12.65142285,12.36206792,12.95395684,13.18021327,12.42090752,12.22990422,12.33759877,12.50543151,12.52929262,12.17516257,12.31596089,12.45508162,13.11302614,12.54327101,12.60205601,12.04356941,13.14210257,12.12024611,12.98940965,12.33934866,12.80173164,11.45645319,11.34055929
C1S,12.07575038,11.90692931,12.14792721,13.15352733,10.57031486,11.66447969,11.34144017,12.46495234,11.94067653,11.81132099,11.59953554,12.03234416,11.63015189,12.05587516,12.3279977,11.73174026,12.05597729,11.94756642,12.25564321,12.06250645,12.06388362,12.44913479,12.10558637,12.9015009,12.18200943,11.95957765,11.97023104,12.7688893,11.87378441,12.33020932,12.09891568,12.3367977,11.0931224,11.24462361
C2,9.750165265,9.313179907,9.152667584,9.432361948,8.714084862,9.830572826,9.324366658,9.925293203,9.700295159,9.219539121,8.801225762,9.325008912,9.624927885,9.973693056,10.22814774,9.377207503,9.201654748,9.571466514,9.621088936,9.595067255,9.868322021,10.02949539,9.488562662,9.903823704,10.61641225,9.857183266,9.526215058,9.078707491,9.812008216,9.496429261,8.85759866,10.37273114,9.766621571,9.506373333
C3,12.37841186,12.76794675,13.69687423,13.74065691,11.31586498,12.63182445,12.39914527,13.2648559,13.49805024,12.95517721,11.99926147,12.63036855,12.8786282,12.42126404,13.63571504,12.75351553,12.92402815,12.69667987,12.7885131,12.36100946,12.57885795,12.67635982,12.44293326,13.8103429,13.14682227,11.04213236,11.37393901,12.90959793,12.00227188,12.99230437,11.72782606,13.20564047,11.81816861,12.1283436
C3AR1,8.687809188,9.097930916,8.482544432,8.770560466,8.512088469,8.864282188,9.435874974,9.204716569,8.941442495,8.995537447,8.303726102,8.901627288,9.392615984,9.304554275,9.54061551,8.597635738,8.761955195,9.00166382,8.999334404,9.107213691,8.945840813,9.249911069,9.152380584,8.860473629,9.190079442,8.499034983,9.135534271,8.847588265,8.746419875,9.809631351,8.439344448,8.716718893,8.727941103,8.723707695
C4B,11.0264629,10.36591289,10.49752746,10.41327973,9.110883243,11.16743017,10.47120805,9.865914655,10.86679692,9.853518442,9.981798007,10.33247758,10.84682179,10.60132889,11.75492733,10.3634017,11.42186226,10.79385894,11.0354776,11.26194658,11.59190145,10.32569084,11.74697431,12.17818612,11.56374318,11.59188169,11.16738314,9.940610632,11.93071862,12.39264755,12.00340318,11.07562364,11.2281335,12.12259059
C4BPA,8.236637903,7.614804426,4.607018007,4.792491106,7.884815164,7.799545931,7.604474578,5.293024987,5.843218959,7.646589138,6.701690088,7.407471072,6.999273556,6.166338134,7.555722403,4.662961985,5.54140412,5.719399943,5.376616981,7.140822083,6.011106584,5.154514046,7.142112248,3.761484534,7.654026542,6.973943939,5.498104351,7.354341934,6.795888551,6.444767141,4.90500802,6.660135364,6.291841988,5.219363654
C5,7.869580432,8.560150352,7.394288683,7.134182456,6.486851178,7.139481975,9.335061259,7.510255703,7.039139169,8.387854869,7.955031098,8.36925175,8.15718604,6.928178396,8.551422265,7.08922674,7.598235343,7.82544158,7.40100114,8.150282413,7.464472202,7.263038503,7.567418083,7.856641767,7.127278655,7.344312388,7.576106863,7.545025495,6.874743972,6.999355993,7.498238137,7.114311258,7.123242384,7.122066453
C6,7.565518758,8.682893416,6.31103318,5.39394173,5.832347744,5.427987068,9.293993009,6.971096892,5.191142262,8.709782964,8.494248008,8.738797865,7.727600232,6.909562718,8.887918833,5.93598048,5.688245508,6.924219735,5.672072865,7.600253702,4.942935082,6.597457542,5.128306449,5.945909105,4.888491796,5.13995389,5.2978057,7.377674438,5.96401131,5.286069395,5.690883215,4.87426017,4.111269743,6.25039055
C7,10.74466229,12.55858287,11.69687423,12.7384394,9.769203761,11.17080174,12.12526656,11.98825328,11.00290685,11.88237715,11.77353548,12.58757524,11.44543101,11.66306168,12.03145583,11.30079439,11.66552543,12.4470897,11.69073671,11.56796949,10.97600278,12.50296558,12.30936312,12.20856776,11.17980066,11.44055514,11.9037186,13.58837833,11.5892818,12.05240569,12.14275369,11.43413169,9.605258583,11.55998784
C8A,6.257396463,7.791269577,4.697215816,3.934510111,3.77789996,4.275983975,8.752228198,4.877987488,4.061859245,8.276308217,6.949617601,7.489933232,6.376127861,5.286632367,7.904871966,4.325926998,2.734049198,3.644111816,3.617625081,6.551106053,4.632594961,3.739476547,3.887298349,3.471977917,3.566563701,3.075823553,2.91314185,4.000704979,4.020594838,2.181732735,2.047027025,3.823634097,3.904818865,4.155233317
C8B,6.350505867,7.401323059,4.697215816,4.578366301,4.984350837,4.498376396,8.572294172,4.725984394,4.705715435,7.77689716,6.635802152,6.944499095,5.688071868,4.890703691,7.105919485,4.662961985,3.734049198,3.924219735,3.376616981,6.416456526,3.988738771,4.402441559,4.887298349,4.002492634,4.704067224,3.423746856,4.266778805,4.290211596,3.642083215,4.252122063,4.047027025,4.016279175,3.904818865,4.943729211
C8G,6.143063787,6.994553176,5.535464746,5.063793128,7.426188396,5.193521814,8.141502601,5.585806736,5.488124,6.565393055,6.002859623,6.279366246,6.376127861,6.102207796,5.970759902,5.470316908,5.091601203,5.618116607,6.165112876,6.811757807,5.236666285,5.283797063,6.235221653,5.302052916,5.85934545,6.075823553,5.028619067,5.445489822,6.428679577,6.286069395,6.069394838,5.186204176,5.758967999,8.317853517
C9,7.40733709,8.614804426,5.583559035,4.934510111,4.984350837,6.128426786,9.469267636,6.160921451,5.762298963,8.908426783,7.971150763,8.512027003,7.640543498,6.424135891,9.021385975,5.805919939,5.778443317,5.881151013,5.502147863,7.392740457,6.011106584,5.546831469,4.820184154,6.002492634,5.736488702,4.901794153,4.065144944,4.354341934,5.227045716,5.217356645,4.953917621,5.103742016,5.848235337,5.602692294
CAMP,6.8560339,7.582261053,6.237784198,5.182437624,4.164923083,5.315512339,8.856861739,5.525685744,6.231784247,6.865902166,6.538191356,6.719938837,6.674651352,4.890703691,7.439529385,6.923489536,6.176992694,7.523257421,5.004648204,7.352326189,6.55859438,4.909401548,5.71326895,5.587455135,5.198831916,4.423746856,4.872499866,4.078707491,4.568082633,6.217356645,4.047027025,5.264206688,6.22674696,5.4506892
CARD11,10.16520276,9.720761602,10.62795315,10.61486963,8.262335585,9.875896817,9.966848198,10.29640235,10.52129086,9.806109081,9.262841627,9.498811383,10.11681975,8.941984196,10.34331407,10.47246218,10.8464887,11.10763619,10.78755008,10.91664892,11.1511301,9.794758982,10.73164748,11.11903654,10.8556604,9.511209697,10.48889117,8.844800448,10.3002947,10.72399078,9.903452554,11.23967759,12.15018873,11.35490566
CARD9,7.614613308,7.757661185,6.928946102,6.504365719,6.185984698,7.315512339,8.877493072,6.791275855,7.149322086,7.050819882,6.675694879,6.904970731,7.367812593,6.812701179,7.911597829,7.306818175,7.18526031,7.296188512,7.274737367,7.654445802,7.815287258,6.882434501,7.196051056,7.357335351,7.986102592,7.008709357,6.266778805,6.572246964,7.375437556,8.121899486,6.774947479,7.563173634,8.175922701,7.590619461
CASP1,11.4065629,11.06445171,11.05316749,11.225105,9.597096494,10.94289833,9.757007976,11.34450585,10.43472431,10.23871143,9.959077931,10.02506458,10.46748725,11.42741102,10.38015084,10.13599121,10.62659201,10.24932674,11.11009458,10.27227294,10.32747515,11.27539989,10.32268449,10.18469597,11.54269817,10.64912646,10.03553848,10.88944823,10.75269702,10.53752428,10.35990998,11.41448844,10.94837201,10.64416893
